,Inhibitors,Conc(wt%),Pressure (MPa),Temp(K),C1(%),C2(%),C3(%),nC4(%),iC4(%),H2S(%),MW,LogP,NumHDonors,NumHAcceptors,N2(%),CO2(%),Induction delay time (min)
0,PVP,0.5,10.0,274.15,99.5,0.0,0.0,0.0,0.0,0.5,111.14399999999999,0.7523,0.0,1.0,0.0,0.0,17.6
1,PVP,0.5,10.0,274.15,99.5,0.0,0.0,0.0,0.0,0.5,111.14399999999999,0.7523,0.0,1.0,0.0,0.0,18.2
2,PVP,0.5,10.0,274.15,99.5,0.0,0.0,0.0,0.0,0.5,111.14399999999999,0.7523,0.0,1.0,0.0,0.0,18.8
3,PVP,1.0,10.0,274.15,99.5,0.0,0.0,0.0,0.0,0.5,111.14399999999999,0.7523,0.0,1.0,0.0,0.0,26.9
4,PVP,1.0,10.0,274.15,99.5,0.0,0.0,0.0,0.0,0.5,111.14399999999999,0.7523,0.0,1.0,0.0,0.0,28.2
5,PVP,1.0,10.0,274.15,99.5,0.0,0.0,0.0,0.0,0.5,111.14399999999999,0.7523,0.0,1.0,0.0,0.0,29.8
6,PVP,1.5,10.0,274.15,99.5,0.0,0.0,0.0,0.0,0.5,111.14399999999999,0.7523,0.0,1.0,0.0,0.0,44.4
7,PVP,1.5,10.0,274.15,99.5,0.0,0.0,0.0,0.0,0.5,111.14399999999999,0.7523,0.0,1.0,0.0,0.0,45.5
8,PVP,1.5,10.0,274.15,99.5,0.0,0.0,0.0,0.0,0.5,111.14399999999999,0.7523,0.0,1.0,0.0,0.0,46.3
9,PVP,2.0,10.0,274.15,99.5,0.0,0.0,0.0,0.0,0.5,111.14399999999999,0.7523,0.0,1.0,0.0,0.0,66.7
10,PVP,2.0,10.0,274.15,99.5,0.0,0.0,0.0,0.0,0.5,111.14399999999999,0.7523,0.0,1.0,0.0,0.0,68.6
11,PVP,2.0,10.0,274.15,99.5,0.0,0.0,0.0,0.0,0.5,111.14399999999999,0.7523,0.0,1.0,0.0,0.0,70.5
12,PVP,0.5,10.0,276.15,99.5,0.0,0.0,0.0,0.0,0.5,111.14399999999999,0.7523,0.0,1.0,0.0,0.0,31.9
13,PVP,0.5,10.0,276.15,99.5,0.0,0.0,0.0,0.0,0.5,111.14399999999999,0.7523,0.0,1.0,0.0,0.0,33.4
14,PVP,0.5,10.0,276.15,99.5,0.0,0.0,0.0,0.0,0.5,111.14399999999999,0.7523,0.0,1.0,0.0,0.0,35.2
15,PVP,1.0,10.0,276.15,99.5,0.0,0.0,0.0,0.0,0.5,111.14399999999999,0.7523,0.0,1.0,0.0,0.0,53.8
16,PVP,1.0,10.0,276.15,99.5,0.0,0.0,0.0,0.0,0.5,111.14399999999999,0.7523,0.0,1.0,0.0,0.0,54.0
17,PVP,1.0,10.0,276.15,99.5,0.0,0.0,0.0,0.0,0.5,111.14399999999999,0.7523,0.0,1.0,0.0,0.0,54.5
18,PVP,1.5,10.0,276.15,99.5,0.0,0.0,0.0,0.0,0.5,111.14399999999999,0.7523,0.0,1.0,0.0,0.0,83.7
19,PVP,1.5,10.0,276.15,99.5,0.0,0.0,0.0,0.0,0.5,111.14399999999999,0.7523,0.0,1.0,0.0,0.0,84.8
20,PVP,1.5,10.0,276.15,99.5,0.0,0.0,0.0,0.0,0.5,111.14399999999999,0.7523,0.0,1.0,0.0,0.0,88.6
21,PVP,2.0,10.0,276.15,99.5,0.0,0.0,0.0,0.0,0.5,111.14399999999999,0.7523,0.0,1.0,0.0,0.0,113.6
22,PVP,2.0,10.0,276.15,99.5,0.0,0.0,0.0,0.0,0.5,111.14399999999999,0.7523,0.0,1.0,0.0,0.0,115.2
23,PVP,2.0,10.0,276.15,99.5,0.0,0.0,0.0,0.0,0.5,111.14399999999999,0.7523,0.0,1.0,0.0,0.0,117.1
24,PVP,0.5,10.0,278.15,99.5,0.0,0.0,0.0,0.0,0.5,111.14399999999999,0.7523,0.0,1.0,0.0,0.0,54.4
25,PVP,0.5,10.0,278.15,99.5,0.0,0.0,0.0,0.0,0.5,111.14399999999999,0.7523,0.0,1.0,0.0,0.0,56.1
26,PVP,0.5,10.0,278.15,99.5,0.0,0.0,0.0,0.0,0.5,111.14399999999999,0.7523,0.0,1.0,0.0,0.0,61.1
27,PVP,1.0,10.0,278.15,99.5,0.0,0.0,0.0,0.0,0.5,111.14399999999999,0.7523,0.0,1.0,0.0,0.0,89.0
28,PVP,1.0,10.0,278.15,99.5,0.0,0.0,0.0,0.0,0.5,111.14399999999999,0.7523,0.0,1.0,0.0,0.0,91.6
29,PVP,1.0,10.0,278.15,99.5,0.0,0.0,0.0,0.0,0.5,111.14399999999999,0.7523,0.0,1.0,0.0,0.0,95.7
